Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Census Year Code,Census Year,Unit,Y1930,Y1930F,Y1930N,Y1950,Y1950F,Y1950N,Y1960,Y1960F,Y1960N,Y1970,Y1970F,Y1970N,Y1980,Y1980F,Y1980N,Y1990,Y1990F,Y1990N,Y2000,Y2000F,Y2000N,Y2010,Y2010F,Y2010N,Y2020,Y2020F,Y2020N
"3","'008","Albania","270036","Holdings with land size 5-<10","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"11573.000000","A",,,,
"3","'008","Albania","270036","Holdings with land size 5-<10","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"1665.000000","A",,,,
"3","'008","Albania","270037","Holdings with land size 10-<20","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"77769.000000","A",,,,
"3","'008","Albania","270037","Holdings with land size 10-<20","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"1871.000000","A",,,,
"3","'008","Albania","270060","Holdings owned by the holder or in owner-like possession","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"304638.000000","A",,,,
"3","'008","Albania","270060","Holdings owned by the holder or in owner-like possession","6200","Percentage of total area","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"82.000000","E",,,,
"3","'008","Albania","270060","Holdings owned by the holder or in owner-like possession","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"320021.000000","A",,,,
"3","'008","Albania","270060","Holdings owned by the holder or in owner-like possession","6201","Percent of total number","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"99.500000","E",,,,
"3","'008","Albania","270061","Holdings rented from others","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"59539.000000","A",,,,
"3","'008","Albania","270061","Holdings rented from others","6200","Percentage of total area","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"16.000000","E",,,,
"3","'008","Albania","270061","Holdings rented from others","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"18171.000000","A",,,,
"3","'008","Albania","270061","Holdings rented from others","6201","Percent of total number","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"5.700000","E",,,,
"3","'008","Albania","270062","Holdings operated under other forms of tenure","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"7432.000000","A",,,,
"3","'008","Albania","270062","Holdings operated under other forms of tenure","6200","Percentage of total area","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"2.000000","E",,,,
"3","'008","Albania","270062","Holdings operated under other forms of tenure","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"15457.000000","A",,,,
"3","'008","Albania","270062","Holdings operated under other forms of tenure","6201","Percent of total number","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"4.800000","E",,,,
"3","'008","Albania","270070","Civil persons","50260","Area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"451984.000000","A",,,,,,,
"3","'008","Albania","270070","Civil persons","6200","Percentage of total area","1998","1998","%",,,,,,,,,,,,,,,,,,,"23.920000","E",,,,,,,
"3","'008","Albania","270070","Civil persons","60850","Number","1998","1998","No",,,,,,,,,,,,,,,,,,,"466716.000000","A",,,,,,,
"3","'008","Albania","270070","Civil persons","6201","Percent of total number","1998","1998","%",,,,,,,,,,,,,,,,,,,"99.980000","E",,,,,,,
"3","'008","Albania","270071","Juridical","50260","Area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"1437514.000000","A",,,,,,,
"3","'008","Albania","270071","Juridical","6200","Percentage of total area","1998","1998","%",,,,,,,,,,,,,,,,,,,"76.080000","E",,,,,,,
"3","'008","Albania","270071","Juridical","60850","Number","1998","1998","No",,,,,,,,,,,,,,,,,,,"93.000000","A",,,,,,,
"3","'008","Albania","270071","Juridical","6201","Percent of total number","1998","1998","%",,,,,,,,,,,,,,,,,,,"0.020000","E",,,,,,,
"3","'008","Albania","270052","Holdings operated by civil persons, male","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"292990.000000","A","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units.",,,
"3","'008","Albania","270052","Holdings operated by civil persons, male","6202","Percent of total persons","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"91.100000","E","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units.",,,
"3","'008","Albania","270051","Holdings operated by civil persons, female","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"28502.000000","A","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units.",,,
"3","'008","Albania","270051","Holdings operated by civil persons, female","6202","Percent of total persons","2012","2012","%",,,,,,,,,,,,,,,,,,,,,,"8.900000","E","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units.",,,
"3","'008","Albania","270050","Holdings operated by civil persons, total","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"321492.000000","A","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units.",,,
"3","'008","Albania","270080","Household members, total","60851","Number","1995","1995","No",,,,,,,,,,,,,,,,"2433700.000000","A",,,,,,,,,,
"3","'008","Albania","270080","Household members, total","5019","Average persons per holding","1995","1995","No",,,,,,,,,,,,,,,,"5.500000","E",,,,,,,,,,
"3","'008","Albania","270092","Household members, engaged in agriculture, male","60851","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"374955.000000","A",,,,
"3","'008","Albania","270091","Household members, engaged in agriculture, female","60851","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"309958.000000","A",,,,
"3","'008","Albania","270090","Household members, engaged in agriculture, total","60851","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"684913.000000","A",,,,
"3","'008","Albania","27010","Hired permanent workers","60851","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"98264.000000","A",,,,
"3","'008","Albania","27010","Hired permanent workers","5019","Average persons per holding","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"0.310000","E",,,,
"4","'012","Algeria","27002","Holdings","50260","Area","1973","1973","ha",,,,,,,,,,"5544145.000000","A","Only private holdings were covered. Government, institutional and collective holdings were not included.",,,,,,,,,,,,,,,
"4","'012","Algeria","27002","Holdings","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"8458680.000000","A","This includes 3 350 483 ha of fallow land, which was not explicitely covered in 1970 census.",,,,,,
"4","'012","Algeria","27002","Holdings","5017","Average area","1973","1973","ha",,,,,,,,,,"6.160000","E",,,,,,,,,,,,,,,,
"4","'012","Algeria","27002","Holdings","5017","Average area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"8.260000","E",,,,,,,
"4","'012","Algeria","27002","Holdings","60850","Number","1973","1973","No",,,,,,,,,,"899545.000000","A","Only private holdings were covered. Government, institutional and collective holdings were not included.",,,,,,,,,,,,,,,
"4","'012","Algeria","27002","Holdings","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"1023799.000000","A",,,,,,,
"4","'012","Algeria","270030","Holdings with land size 0-<1","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"70516.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270030","Holdings with land size 0-<1","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"223115.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270031","Holdings with land size 1-<2","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"162315.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270031","Holdings with land size 1-<2","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"128864.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270033","Holdings with land size 2-<5","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"722275.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270033","Holdings with land size 2-<5","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"239844.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270036","Holdings with land size 5-<10","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"1200598.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270036","Holdings with land size 5-<10","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"181267.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270037","Holdings with land size 10-<20","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"1896466.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270037","Holdings with land size 10-<20","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"142980.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270038","Holdings with land size 20-<50","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"2484971.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270038","Holdings with land size 20-<50","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"88130.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270039","Holdings with land size 50-<100","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"930765.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270039","Holdings with land size 50-<100","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"14294.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","2700300","Holdings with land size 100-<200","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"532146.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","2700300","Holdings with land size 100-<200","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"4063.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","2700301","Holdings with land size 200-<500","50260","Area","2001","2001","ha",,,,,,,,,,,,,,,,,,,"458628.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","2700301","Holdings with land size 200-<500","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"1242.000000","A","Agricultural area",,,,,,
"4","'012","Algeria","270052","Holdings operated by civil persons, male","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"982006.000000","A",,,,,,,
"4","'012","Algeria","270052","Holdings operated by civil persons, male","6202","Percent of total persons","2001","2001","%",,,,,,,,,,,,,,,,,,,"95.920000","E",,,,,,,
"4","'012","Algeria","270051","Holdings operated by civil persons, female","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"41793.000000","A",,,,,,,
"4","'012","Algeria","270051","Holdings operated by civil persons, female","6202","Percent of total persons","2001","2001","%",,,,,,,,,,,,,,,,,,,"4.080000","E",,,,,,,
"4","'012","Algeria","270050","Holdings operated by civil persons, total","60850","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"1023799.000000","A",,,,,,,
"4","'012","Algeria","270082","Household members, male","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"5212216.000000","A",,,,,,,
"4","'012","Algeria","270081","Household members, female","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"1695369.000000","A",,,,,,,
"4","'012","Algeria","270080","Household members, total","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"6907585.000000","A",,,,,,,
"4","'012","Algeria","270080","Household members, total","5019","Average persons per holding","2001","2001","No",,,,,,,,,,,,,,,,,,,"6.700000","E",,,,,,,
"4","'012","Algeria","270092","Household members, engaged in agriculture, male","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"2580463.000000","A",,,,,,,
"4","'012","Algeria","270092","Household members, engaged in agriculture, male","6202","Percent of total persons","2001","2001","%",,,,,,,,,,,,,,,,,,,"37.360000","E",,,,,,,
"4","'012","Algeria","270091","Household members, engaged in agriculture, female","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"768984.000000","A",,,,,,,
"4","'012","Algeria","270091","Household members, engaged in agriculture, female","6202","Percent of total persons","2001","2001","%",,,,,,,,,,,,,,,,,,,"11.130000","E",,,,,,,
"4","'012","Algeria","270090","Household members, engaged in agriculture, total","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"3349447.000000","A",,,,,,,
"4","'012","Algeria","270090","Household members, engaged in agriculture, total","6202","Percent of total persons","2001","2001","%",,,,,,,,,,,,,,,,,,,"48.500000","E",,,,,,,
"4","'012","Algeria","27010","Hired permanent workers","60851","Number","2001","2001","No",,,,,,,,,,,,,,,,,,,"108566.000000","A",,,,,,,
"4","'012","Algeria","27010","Hired permanent workers","5019","Average persons per holding","2001","2001","No",,,,,,,,,,,,,,,,,,,"0.110000","E",,,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","1950","1950","ha",,,,"6000.000000","A","In the 1950 Agricultural Census a farm is defined as any "place" on which crops were harvested in 1959, or on which any livestock or five or more poultry were kept on or about April 1, 1960.",,,,,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","1960","1960","ha",,,,,,,"4662.000000","A","In the 1960 Agricultural Census a farm is defined as any "place" on which crops were harvested in 1959, or on which any livestock or five or more poultry were kept on or about April 1, 1960.",,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","1970","1970","ha",,,,,,,,,,"4212.000000","A","In the 1970 Agricultural Census a farm is defined as any "place" on which crops were raised or harvested in 1969, or if there was a combined total of 10 or more fruit or nut trees, or plants or any livestock or 5 or more poultry were kept on enumeration day.",,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","1980","1980","ha",,,,,,,,,,,,,"2428.000000","A","For the 1980 Census of Agriculture in American Samoa, a farm was defined as any place that has 15 or more poultry (chickens, ducks, guineas, etc.); 5 or more livestock (cattle, hogs, goats, etc.); a combined total of 10 or more fruit or nut trees or plants; or any place of 100 or more square meters on which root or field crops or vegetables were harvested for sale during 1979.",,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","1990","1990","ha",,,,,,,,,,,,,,,,"2349.000000","A","The farm definition in the 1990 Agricultural Census required a annual sales equal or above USD100",,,,,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","2003","2003","ha",,,,,,,,,,,,,,,,,,,"7949.000000","A","The farm definition in 2003 Agricultural Census was any place that raised or produced any agricultural products for sale or home consumption.",,,,,,
"5","'016","American Samoa","27002","Holdings","50260","Area","2008","2008","ha",,,,,,,,,,,,,,,,,,,,,,"7690.240000","A","The farm definition in 2012 Agricultural Census was any place that raised or produced any agricultural products for sale or home consumption.",,,
"5","'016","American Samoa","27002","Holdings","50260","Area","2018","2018","ha",,,,,,,,,,,,,,,,,,,,,,,,,"5830.000000","A","The farm definition in 2017/2018 Agricultural Census was any place that raised or produced any agricultural products for sale or home consumption."
"5","'016","American Samoa","27002","Holdings","5017","Average area","1950","1950","ha",,,,"3.000000","E",,,,,,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","1960","1960","ha",,,,,,,"2.330000","E",,,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","1970","1970","ha",,,,,,,,,,"2.190000","E",,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","1980","1980","ha",,,,,,,,,,,,,"1.820000","E",,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","1990","1990","ha",,,,,,,,,,,,,,,,"6.120000","E",,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","2003","2003","ha",,,,,,,,,,,,,,,,,,,"1.120000","E",,,,,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","2008","2008","ha",,,,,,,,,,,,,,,,,,,,,,"1.320000","E",,,,
"5","'016","American Samoa","27002","Holdings","5017","Average area","2018","2018","ha",,,,,,,,,,,,,,,,,,,,,,,,,"0.920000","A",
"5","'016","American Samoa","27002","Holdings","60850","Number","1930","1930","No","1000.000000","A",,,,,,,,,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","1950","1950","No",,,,"2000.000000","A","In the 1950 Agricultural Census a farm is defined as any place on which crops were harvested in 1959, or on which any livestock or five or more poultry were kept on or about April 1, 1960.",,,,,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","1960","1960","No",,,,,,,"2000.000000","A","In the 1960 Agricultural Census a farm is defined as any "place" on which crops were harvested in 1959, or on which any livestock or five or more poultry were kept on or about April 1, 1960.",,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","1970","1970","No",,,,,,,,,,"1923.000000","A","In the 1970 Agricultural Census a farm is defined as any "place" on which crops were raised or harvested in 1969, or if there was a combined total of 10 or more fruit or nut trees, or plants or any livestock or 5 or more poultry were kept on enumeration day.",,,,,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","1980","1980","No",,,,,,,,,,,,,"1331.000000","A","For the 1980 Census of Agriculture in American Samoa, a farm was defined as any place that has 15 or more poultry (chickens, ducks, guineas, etc.); 5 or more livestock (cattle, hogs, goats, etc.); a combined total of 10 or more fruit or nut trees or plants; or any place of 100 or more square meters on which root or field crops or vegetables were harvested for sale during 1979.",,,,,,,,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","1990","1990","No",,,,,,,,,,,,,,,,"384.000000","A","The farm definition in the 1990 Agricultural Census required a annual sales equal or above USD100",,,,,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","2003","2003","No",,,,,,,,,,,,,,,,,,,"7094.000000","A","The farm definition in 2003 Agricultural Census was any place that raised or produced any agricultural products for sale or home consumption.",,,,,,
"5","'016","American Samoa","27002","Holdings","60850","Number","2008","2008","No",,,,,,,,,,,,,,,,,,,,,,"5840.000000","A","The farm definition in 2012 Agricultural Census was any place that raised or produced any agricultural products for sale or home consumption.",,,
"5","'016","American Samoa","27002","Holdings","60850","Number","2018","2018","No",,,,,,,,,,,,,,,,,,,,,,,,,"6329.000000","A","The farm definition in 2017/2018 Agricultural Census was any place that raised or produced any agricultural products for sale or home consumption."
"5","'016","American Samoa","270030","Holdings with land size 0-<1","50260","Area","1990","1990","ha",,,,,,,,,,,,,,,,"35.000000","A",,,,,,,,,,
"5","'016","American Samoa","270030","Holdings with land size 0-<1","50260","Area","2003","2003","ha",,,,,,,,,,,,,,,,,,,"1511.000000","E","Interpolated data",,,,,,
"5","'016","American Samoa","270030","Holdings with land size 0-<1","50260","Area","2008","2008","ha",,,,,,,,,,,,,,,,,,,,,,"2130.000000","E","Interpolated data",,,
"5","'016","American Samoa","270030","Holdings with land size 0-<1","50260","Area","2018","2018","ha",,,,,,,,,,,,,,,,,,,,,,,,,"2369.000000","E","Interpolated data"
"5","'016","American Samoa","270030","Holdings with land size 0-<1","60850","Number","1990","1990","No",,,,,,,,,,,,,,,,"77.000000","A",,,,,,,,,,
"5","'016","American Samoa","270030","Holdings with land size 0-<1","60850","Number","2003","2003","No",,,,,,,,,,,,,,,,,,,"4064.000000","E","Interpolated data",,,,,,
"5","'016","American Samoa","270030","Holdings with land size 0-<1","60850","Number","2008","2008","No",,,,,,,,,,,,,,,,,,,,,,"4093.000000","E","Interpolated data",,,
"5","'016","American Samoa","270030","Holdings with land size 0-<1","60850","Number","2018","2018","No",,,,,,,,,,,,,,,,,,,,,,,,,"5225.000000","E","Interpolated data"
"5","'016","American Samoa","270031","Holdings with land size 1-<2","50260","Area","1990","1990","ha",,,,,,,,,,,,,,,,"116.000000","A",,,,,,,,,,
"5","'016","American Samoa","270031","Holdings with land size 1-<2","50260","Area","2003","2003","ha",,,,,,,,,,,,,,,,,,,"2245.000000","E","Interpolated data",,,,,,
"5","'016","American Samoa","270031","Holdings with land size 1-<2","50260","Area","2008","2008","ha",,,,,,,,,,,,,,,,,,,,,,"1439.000000","E","Interpolated data",,,
"5","'016","American Samoa","270031","Holdings with land size 1-<2","50260","Area","2018","2018","ha",,,,,,,,,,,,,,,,,,,,,,,,,"1043.000000","E","Interpolated data"
"5","'016","American Samoa","270031","Holdings with land size 1-<2","60850","Number","1990","1990","No",,,,,,,,,,,,,,,,"87.000000","A",,,,,,,,,,
"5","'016","American Samoa","270031","Holdings with land size 1-<2","60850","Number","2003","2003","No",,,,,,,,,,,,,,,,,,,"1867.000000","E","Interpolated data",,,,,,
"5","'016","American Samoa","270031","Holdings with land size 1-<2","60850","Number","2008","2008","No",,,,,,,,,,,,,,,,,,,,,,"889.000000","E","Interpolated data",,,
"5","'016","American Samoa","270031","Holdings with land size 1-<2","60850","Number","2018","2018","No",,,,,,,,,,,,,,,,,,,,,,,,,"670.000000","E","Interpolated data"
"5","'016","American Samoa","270032","Holdings with land size 2-<3","50260","Area","2008","2008","ha",,,,,,,,,,,,,,,,,,,,,,"1082.000000","E","Interpolated data",,,
"5","'016","American Samoa","270032","Holdings with land size 2-<3","50260","Area","2018","2018","ha",,,,,,,,,,,,,,,,,,,,,,,,,"583.000000","E","Interpolated data"
"5","'016","American Samoa","270032","Holdings with land size 2-<3","60850","Number","2008","2008","No",,,,,,,,,,,,,,,,,,,,,,"471.000000","E","Interpolated data",,,
"5","'016","American Samoa","270032","Holdings with land size 2-<3","60850","Number","2018","2018","No",,,,,,,,,,,,,,,,,,,,,,,,,"250.000000","E","Interpolated data"
"5","'016","American Samoa","270033","Holdings with land size 2-<5","50260","Area","1990","1990","ha",,,,,,,,,,,,,,,,"268.000000","A",,,,,,,,,,
"5","'016","American Samoa","270033","Holdings with land size 2-<5","50260","Area","2003","2003","ha",,,,,,,,,,,,,,,,,,,"2352.000000","E","Interpolated data",,,,,,
"5","'016","American Samoa","270033","Holdings with land size 2-<5","60850","Number","1990","1990","No",,,,,,,,,,,,,,,,"98.000000","A",,,,,,,,,,
"5","'016","American Samoa","270033","Holdings with land size 2-<5","60850","Number","2003","2003","No",,,,,,,,,,,,,,,,,,,"926.000000","E","Interpolated data",,,,,,
"5","'016","American Samoa","270034","Holdings with land size 3-<4","50260","Area","2008","2008","ha",,,,,,,,,,,,,,,,,,,,,,"406.000000","E","Interpolated data",,,
"5","'016","American Samoa","270034","Holdings with land size 3-<4","50260","Area","2018","2018","ha",,,,,,,,,,,,,,,,,,,,,,,,,"224.000000","E","Interpolated data"
"5","'016","American Samoa","270034","Holdings with land size 3-<4","60850","Number","2008","2008","No",,,,,,,,,,,,,,,,,,,,,,"112.000000","E","Interpolated data",,,
